time	V(n001)	V(n003)	I(R1)
0.000000000000000e+00	-2.449294e-15	-3.953261e-02	-3.294384e-05
2.929687500000111e-06	3.680722e-02	-2.731379e-03	-2.276149e-06
6.835937499999681e-06	8.579731e-02	4.623752e-02	3.853127e-05
1.464843749999969e-05	1.830399e-01	1.434471e-01	1.195392e-04
2.441406249999948e-05	3.020059e-01	2.628228e-01	2.190190e-04
3.417968749999927e-05	4.164295e-01	3.783317e-01	3.152764e-04
4.394531249999906e-05	5.245897e-01	4.881487e-01	4.067906e-04
5.371093749999886e-05	6.248595e-01	5.906124e-01	4.921770e-04
6.347656249999865e-05	7.157308e-01	6.841788e-01	5.701490e-04
7.324218749999844e-05	7.958369e-01	7.674402e-01	6.395335e-04
8.300781249999823e-05	8.639728e-01	8.391442e-01	6.992868e-04
9.277343749999802e-05	9.191139e-01	8.982123e-01	7.485102e-04
1.025390624999978e-04	9.604305e-01	9.437561e-01	7.864634e-04
1.123046874999976e-04	9.873014e-01	9.750908e-01	8.125757e-04
1.220703124999974e-04	9.993224e-01	9.919086e-01	8.265905e-04
1.314106736470672e-04	9.967569e-01	9.938692e-01	8.282244e-04
1.411762986470669e-04	9.794102e-01	9.811213e-01	8.176011e-04
1.509419236470667e-04	9.473323e-01	9.537664e-01	7.948054e-04
1.607075486470665e-04	9.010056e-01	9.120525e-01	7.600437e-04
1.704731736470663e-04	8.411270e-01	8.566070e-01	7.138392e-04
1.802387986470661e-04	7.685969e-01	7.882640e-01	6.568867e-04
1.900044236470659e-04	6.845066e-01	7.080514e-01	5.900429e-04
1.997700486470657e-04	5.901206e-01	6.171760e-01	5.143133e-04
2.095356736470655e-04	4.868586e-01	5.170046e-01	4.308372e-04
2.193012986470653e-04	3.762738e-01	4.090440e-01	3.408700e-04
2.290669236470651e-04	2.600296e-01	2.949181e-01	2.457651e-04
2.388325486470649e-04	1.398742e-01	1.763437e-01	1.469531e-04
2.485981736470647e-04	1.761496e-02	5.510424e-02	4.592021e-05
2.583637986470644e-04	-1.049092e-01	-6.697656e-02	-5.581381e-05
2.681294236470642e-04	-2.258554e-01	-1.880624e-01	-1.567187e-04
2.778950486470640e-04	-3.434046e-01	-3.063320e-01	-2.552766e-04
2.876606736470638e-04	-4.557886e-01	-4.200062e-01	-3.500052e-04
